Rps19	Rpl11	Mif	Rps8	Rps14	Rps17	Rps11	Rps27a	Rps23	Fau	Rpl35	Rps16	Rpl18	Rpl27	Rpl8	Rpl24	Rpl19	Rps2	Rpl32	Rps10	Rps5	Tpt1	Rpl34-ps1	Rps9	Rpl29	Rpl14	Rpl9	Rps15	Rps25	Rpl7a	Rpl13	Nme2	Atp5g1	Hspe1	Rpl36al	Uqcr10	Rpl23	Rpl10	Atpif1	Snrpd2	Rpl18a	Rpl13a	Snrpe	Tma7	Uba52	Rpl17	Rps4x	Rpl7	Rpl28	NA	NA	Snrpg	Rpl15	Rplp2	Rpl35a	Rps20	Atp5g2	Atp5j2	Rps24	Rps27l	Dctpp1	Cox8a	Uqcrh	Cox6c	Rpl21	Hsp90aa1	Rpl31	Rpl10a	Rps3	Ndufs6	Nop10	Atp5h	Rpl23a	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sumo2	Npm1	Hspa8	Pkm	Tuba1b	Cnbp	Ldha	Tpi1	Eif5a	Hmgn1	Erh	Atp5b	Prmt1	Rpl5	Hmgn2	Pgam1	Ran	Eef1g	Eif4a1	Slc25a5	Tubb5	Hnrnpf	Cdk4	Psma5	Tuba1c	Prdx1	Rpl4	Srsf7	Cct8	Ptges3	Prdx2	Naca	Rplp0	Psma3	Paics	Cct3	Tra2b	Set	Psmb6	Cct5	Srsf3	Psmd4	Hsp90ab1	Prdx6	Psmb4	Cfl1	NA	Rpl3	Trp53	Taf9	Ppid	Kpna2	Actb	Morf4l2	Fkbp4	Cops5	Timm23	Cbx3	Psmb2	Cdc20	Gm12669	Rpl6	Nutf2-ps1	Tipin	Ddx39b	Psmc3	Slbp	Ppa1	Cyc1	Eif2s1	Psmb1	Psma1	Hat1	H3f3a	Ywhaq	Eif3h	Pno1	Hspd1	Psma4	Rrp15	Gm6682	NA	Uqcrc1	NA	Ddx5	Cops6	Morf4l1	Chchd2	Phb2	NA	Nme1	Eif4h	Sumo3	Atp5c1	Ppia	Tomm22	Eif3m	Cct7	Prps1	Actg1
Mixl1	Mesp1	Cyp26a1	T	Tdgf1	Lefty2	Tceal8	Snai1	Ifitm1	Apoc2	Lgals2	Sp5	Upp1	Gpx4	Emb	NA	Frzb	Npm3	Mir669i	Apoa1	Wnt2	Lhx1	Ttr	Ndrg1	NA	NA	NA	Foxa2	Mesp2	Apln	Grrp1	NA	Rps7	Efna3	Slc25a4	NA	NA	Gsc	Magoh	Aplnr	Fgf3	Slpi	Cdx1	Eomes	Car2	Rbp1	Fst	Ap3s1	Rbbp7	Crygs	Gas1	NA	Cox5a	Ubb	Them5	Commd3	Apoa4	Smyd2	Dll3	Mir1199	NA	Fn1	Hnrnpa1	Pla2g12b	Tpm4	Defb2	1700056E22Rik	Rbms1	NA	Tsc22d1	Fgf8	Tmsb10	AA414768	Agtrap	Apom	Afp	Tax1bp3	Pgk1	Maged1	Apoe	Grhpr	Gm9054	Ypel3	Wnt3a	NA	Hint1	NA	Smad1	Hmgb3	Hoxb1	Gpc3	NA	Ndufs3	Ndufs4	Mrps6	Ybx1	Tbx6	NA	Defb8	4833427G06Rik
Pfn1	Calm2	Ftl1	NA	Id3	2310043L19Rik	Edn2	Ascl3	Olfr876	Gpr37l1	Dlx4	NA	Olfr160	Zg16	Serpinb6c	Prlh	Zcchc13	Slc26a1	C130083M11Rik	Rnf112	Mrpl20	Eif1ax	Ndufa8	Bax	Gm13446	Cox8b	Psma7	Myl12b	Gpr87	Tmem179	Gm5142	Sub1	Mrps34	Prl5a1	NA	Olfr495	Gsdma2	Gbgt1	Snora7a	Atp6v1f	NA	Inca1	NA	C1qtnf9	Msx3	Tmem45b	Dcakd	Hoxd8	2310079G19Rik	4930591A17Rik	Fgf11	Gm5086	Gm20741	Olfr1223	Gm10512	Skint11	Olfr1269	Hpd	1700125H03Rik	Rbpms2	Bcas2	Bex1	NA	Olfr911-ps1	Hsd17b10	NA	Olfr890	Gpr101	Krtap1-4	Klhdc7a	NA	Pfdn1	Pou1f1	Olfr99	Cuedc2	Psg25	Serpina1c	Spatc1	Olfr1385	Gm10754	Zfp879	Olfr583	Brix1	Krt18	Gm5122	Nxnl1	Plcxd3	Arl13a	Cbs	Pnmal1	Spink14	Prss44	Atp5o	Tmem106c	2310001K24Rik	Mpv17l2	Il11	Scamp3	Nlrc5	Fam71b
Snora35	NA	Mdk	Tmem88	4930479D17Rik	NA	NA	Bst2	Manbal	Snhg1	1700129C05Rik	Cox16	Trim30e-ps1	Spink2	Srrm1	NA	Ptchd3	Gm4278	Cldn13	Dcun1d2	Snx22	Mzt2	Cox4i1	Ndufaf3	Prps1l1	Rer1	Snhg5	NA	Gpd1	Rfx6	Cdx4	Rmrp	Exosc1	Lrrc8a	Pom121	Tmem97	Emc7	Med20	NA	Rbmx2	Gstm6	Sdc1	Mir466i	NA	Gm7714	H2-Q5	Cryba4	Slc29a1	Uck2	Ergic3	Gas5	Ppib	Lypla2	2810429I04Rik	Gm12130	Wif1	2700062C07Rik	Syne4	Srrm2	Prrg2	Ttyh2	Pkd2l1	Atrip	Prpsap2	Lsr	Tmem238	Gmfg	Actr1b	NA	NA	Slfnl1	Ckap2	Raf1	Coa4	AI662270	NA	NA	Fabp5	Chd8	Dok1	NA	Kirrel2	NA	NA	Nmnat1	Plp2	Plbd2	Rnf13	Scand1	Mki67	NA	Mat2a	NA	Mfsd10	Pou3f4	Akap1	Tcea1	Ostc	Tmx1	Timp1
Snora26	Rps29	Snora78	Lars2	Snora75	Rpl36	Rpl41	NA	Dpm3	Snora70	Qdpr	Gm20594	Cox5b	Mir546	Cpsf4l	Gm15772	Snhg3	Atp5k	D130040H23Rik	Snora16a	Serf2	Kiss1r	Snora23	Higd2a	Rpl37	Ptdss2	Sall4	Smpdl3b	Ssrp1	Tubb1	Snora65	NA	Rcn2	Gm19710	Rplp1	Arid3c	Tmem161b	2900076A07Rik	Lrrn4cl	Hspb11	Crhr1	Chrnb1	Hspa5	Mettl7a1	Hnrnpu	Pinc	AU041133	Foxi3	Lenep	Zbtb7a	Smim18	Tcerg1l	Erc1	H2-K2	Hand1	1700003C15Rik	Trnp1	Taco1	Rsl1	Abcf2	P2rx2	NA	Dnajb2	Kif5b	E2f7	Rhbdf1	Usp25	Alpl	Gtf2e1	A730082K24Rik	Skor2	Rps28	Fam83c	Gm13544	Mir17hg	Dnm1l	Zfp61	6330415B21Rik	Tfap2c	Ccnk	NA	Cox17	Gpr35	Oaf	Nanos1	Uchl4	3110021N24Rik	Slc2a3	Fbxo8	Rassf5	NA	NA	Hadh	5730408K05Rik	Lin7c	Zfp36l1	Aatk	Sox4	1700048O20Rik	NA
Snora43	Cox7a2	Spon2	1810037I17Rik	Mcee	Mrpl54	Tmsb15b1	Plekho1	Ndufb3	Nudcd2	4833418N02Rik	Grem1	Gmnn	Vnn3	Zdhhc19	2810442N19Rik	Trmt112	1110028F11Rik	Reep1	2310034O05Rik	Bola2	1190007I07Rik	Cox7b	Gm20172	Utp14a	NA	Etf1	Ccser1	Oxa1l	Abhd10	Vps36	Gmfb	Zfp39	Myot	Mcl1	Srpx	Pgp	NA	Nus1	Med19	Igsf6	NA	Actr3	Ppp2ca	Rgs9bp	Gnl3l	Olfr1426	Tmem243	Cyp2c70	Acsl1	Ier5	Spatc1l	Kpna1	Tfam	Nsmce4a	Supv3l1	AU022754	Capn11	NA	Josd2	Cabp2	Rpl26	Mcm4	Nap1l1	Lcor	Mrpl48	Cnot10	2410012E07Rik	NA	Cpt2	Tbr1	Eif4b	NA	Pigh	NA	Ptcd3	Traf5	Tmem251	Ppp1r3g	Cmtm7	E130102H24Rik	Rfxap	Spata1	NA	Rbpj	Nsa2	Desi1	Gm8096	Ube2b	Rbm43	NA	NA	Kcnmb4	Dcaf15	Zfp622	Gm16845	Basp1	Six1	Upk1a	Zc3h8
Snora41	Mir1193	Mir1966	Mir669a-3	Mir703	Mir1931	Ear7	Defb9	Snord15a	Catsper3	Scarna8	Krtap10-10	Snord22	Olfr1354	Rps19bp1	Insl3	Vmn1r33	4930544D05Rik	Rasgef1c	Mir692-1	5430403N17Rik	Mrps24	Olfr1323	Olfr629	Olfr498	Gm7854	Swi5	Hddc2	Dmap1	Gm5771	Myoz2	Slc38a8	Xrcc3	Olfr49	Tmem14c	Tmem74b	Olfr8	S100a9	Nufip1	Ndrg3	Impg1	Gm11240	NA	Olfr801	Vps41	2310061I04Rik	Krtap7-1	Olfr51	Mtnr1a	Prmt8	Prpf38b	4930539N22Rik	NA	Tex11	Gm16062	Cyp2c50	Pcdhga6	Olfr603	Grcc10	Oaz1	Reep4	Gm10373	Agpat1	Fam216b	Zfp281	Ing4	NA	Dnase2b	Emc6	Birc7	Bex6	Pfn3	Zpbp	Olfr976	NA	1810009J06Rik	Prkcsh	Snapc5	Olfr1355	Mael	Itm2b	Ifng	Tbc1d25	Clptm1	Slc16a13	Tmem174	NA	Lce3a	Blmh	4930470H14Rik	Kpna7	Rarres1	Tsr3	Vegfc	Olfr1167	Gstm4	Pemt	Gm5105	Vmn1r184	Rnf139
Rps27	Scarna3b	Polr2h	Myl6	Sod1	Ndufa10	Ldhb	Pnkd	Snrpf	Tarbp2	Pou5f1	Snrnp25	Atp6v1e2	Znrd1	Atp6v1d	Echs1	Brk1	NA	0610012G03Rik	Gng5	Trappc1	Gm266	Psors1c2	Fgf5	Lsm3	Maf1	Wbp2	Cend1	Atp5d	Aatf	Nudt2	Arhgdia	Snrpb	Exoc7	Cbr1	Gstm5	Gemin6	1300002E11Rik	Ghitm	Kbtbd12	1700027A15Rik	Rad23a	Asgr2	Cenpk	4930426L09Rik	3110001I22Rik	Ube2l3	Dhrs7	Kcnk7	Zbtb32	Ormdl2	Tmem219	Stard3nl	Spata24	Spint2	B9d1	Nras	Tubb3	Chchd6	Zfp444	Fastk	Scp2	Pop5	Rps13	Mettl5	Nphp1	Mctp1	0610040J01Rik	Mrpl38	Kdelr3	Bsx	Gimap5	Alg14	Lrig3	Gm9767	Memo1	Nhlrc4	Tmem141	Jmjd7	B230208H11Rik	Surf1	Scamp4	NA	Fam50a	Ska2	Morn4	Crmp1	Slc25a11	2810408I11Rik	Cdca5	Cdca3	Pigp	Plgrkt	Fh1	Mto1	Coro1b	Fxyd4	Fam187b	Wdr73	Rac3
Skint9	Mrps21	Slc22a18	Ndufa4	NA	Cox6a1	NA	NA	Slc6a7	Wnt6	Rpl34	B230214G05Rik	Tmem255b	NA	4933433G15Rik	Gstt1	Gm16617	Bcl3	Rad52	Ier3	Llph	NA	5730488B01Rik	NA	Rpl22l1	Gm11747	Cpsf4	Cdkn1a	Gm19897	Gm527	Hexa	NA	9530026P05Rik	Pfdn5	Krtcap3	Gja3	4933421O10Rik	Rpl36a	Tada2b	Aarsd1	NA	Dlx5	NA	Cdk5	NA	Tmem95	Cox4i2	Rbx1	Gm9079	2810004N23Rik	Shroom4	NA	Ssu72	Pitpnm1	Ak4	Acot4	Ahr	Cep128	Ctdnep1	Mboat1	Atp8b3	Ednrb	Rpl39l	Apoa2	Por	Cd72	NA	Ccdc177	Rab42	Pak6	Pim1	Rtn4	NA	Calcr	Milr1	Trim30a	Cyp2d22	Ppox	Pde9a	Ndufa4l2	Myg1	Zfp383	Bcl7a	Zfp128	Strada	Gar1	Jakmip1	2810410L24Rik	Rsad1	Gm2694	Reck	Gmppb	Lrrc19	Arhgap8	Cln6	Timm10b	Relt	Ifitm5	Unc45a	Atf2
Mir719	Snora21	NA	Mir1192	1810009A15Rik	Snora28	Ssbp1	Cdc26	4930578N18Rik	Olfr524	Nkg7	Htr6	Cox7c	Rpl38	Olfr487	Polr2k	Il21r	Cd209a	Tas2r108	Ndufa2	Mrpl42	Ndufb2	Pola2	Aldh3a1	Olfr1501	Pnck	Nudt22	Wdr74	1700020N01Rik	3110009E18Rik	Pla2g1b	Pfdn2	Rnf113a2	Ino80b	Dynlt1c	Prlhr	Gm10267	Apip	Srp19	Setd6	Ndufb11	Olfr70	Olfr192	Iscu	NA	Spata2l	Rpl3l	Ppp4r4	4930405A21Rik	Ifrd1	Dctn6	Sdhb	2010315B03Rik	Atp5j	Stk32b	Rabepk	1700024B18Rik	Rab17	4933400B14Rik	Cnpy2	Gm15179	Cdkn2a	Gm4926	Hsd3b3	Tigd4	2610020C07Rik	Mxd3	Rprml	Mchr1	Lhcgr	Vaultrc5	Vmn1r38	Ppic	Hsd3b2	Zfp712	Gm5441	Aurkaip1	NA	Ifi204	Tmem147	Gm13752	Ier3ip1	Gns	4933430M04Rik	NA	Elof1	AA465934	Ccdc117	Rwdd3	Gabrr2	Cr1l	Gm5127	Gtf2a2	Cdc42ep2	Fndc4	Filip1	Banf1	Ins1	Fgfr1op2	Dpagt1
